data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.339407
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:001, data loss:1.068666
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.031316
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:002, data loss:0.790819
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.020203
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:003, data loss:0.595373
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.011556
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:004, data loss:0.382658
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.008590
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:005, data loss:0.205027
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005883
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:006, data loss:0.093424
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004433
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:007, data loss:0.047296
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003297
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:008, data loss:0.029338
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002438
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:009, data loss:0.017765
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002052
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:010, data loss:0.008300
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001942
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:011, data loss:0.005751
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001553
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:012, data loss:0.003057
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001383
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:013, data loss:0.002159
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001363
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:014, data loss:0.001281
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001277
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:015, data loss:0.002057
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001274
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:016, data loss:0.001469
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001120
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:017, data loss:0.001222
