data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.251620
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:001, data loss:0.704358
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.036413
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:002, data loss:0.484152
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.016775
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:003, data loss:0.237043
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.010683
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:004, data loss:0.094222
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.008496
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:005, data loss:0.035526
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.006086
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:006, data loss:0.016784
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004450
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:007, data loss:0.007552
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003699
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:008, data loss:0.003065
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002635
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:009, data loss:0.003778
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002560
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:010, data loss:0.002197
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002199
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:011, data loss:0.002173
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004198
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:012, data loss:0.005416
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004847
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:013, data loss:0.003173
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003669
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:014, data loss:0.002412
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002534
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:015, data loss:0.002130
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002675
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:016, data loss:0.002620
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002818
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:017, data loss:0.002962
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002559
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:018, data loss:0.003750
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002372
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:019, data loss:0.004933
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.003532
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:020, data loss:0.005667
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.002331
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:021, data loss:0.002749
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.002233
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:022, data loss:0.005950
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.003432
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:023, data loss:0.003945
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001710
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:024, data loss:0.002391
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001055
