data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.225990
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:001, data loss:0.699393
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.022476
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:002, data loss:0.450256
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.012176
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:003, data loss:0.198312
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.007093
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:004, data loss:0.090226
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.004687
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:005, data loss:0.034892
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.003682
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:006, data loss:0.009724
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.002405
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:007, data loss:0.004500
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.001841
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:008, data loss:0.002585
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.001611
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:009, data loss:0.002281
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002575
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:010, data loss:0.001588
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001970
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:011, data loss:0.001340
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002424
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:012, data loss:0.001334
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002387
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:013, data loss:0.001564
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001855
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:014, data loss:0.000909
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001381
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:015, data loss:0.000913
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.000849
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:016, data loss:0.000985
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000960
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:017, data loss:0.000843
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000750
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:018, data loss:0.000647
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000614
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:019, data loss:0.000799
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000571
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:020, data loss:0.000680
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000663
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:021, data loss:0.000807
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000701
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:022, data loss:0.000981
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000757
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:023, data loss:0.000728
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000532
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:024, data loss:0.000535
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000793
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:025, data loss:0.000508
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001401
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:026, data loss:0.000858
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001058
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:027, data loss:0.001434
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000652
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:028, data loss:0.001769
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001048
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:029, data loss:0.004607
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001411
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:030, data loss:0.000903
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000800
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:031, data loss:0.000572
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000645
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:032, data loss:0.000612
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000734
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:033, data loss:0.000416
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000387
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:034, data loss:0.000696
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000457
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:035, data loss:0.000420
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000420
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:036, data loss:0.000478
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000381
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:037, data loss:0.000399
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000261
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:038, data loss:0.000364
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000322
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:039, data loss:0.000289
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000333
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:040, data loss:0.000308
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000474
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:041, data loss:0.000354
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000431
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:042, data loss:0.000482
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000496
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:043, data loss:0.000648
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000530
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:044, data loss:0.000288
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000837
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:045, data loss:0.000471
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000533
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:046, data loss:0.000598
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000464
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:047, data loss:0.000439
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000373
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:048, data loss:0.000300
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.000282
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:049, data loss:0.000739
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000580
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:050, data loss:0.000479
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000653
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:051, data loss:0.000703
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000677
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:052, data loss:0.000429
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000425
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:053, data loss:0.000320
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000322
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:054, data loss:0.000316
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000469
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:055, data loss:0.000472
