data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.636572
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:001, data loss:1.001388
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.123935
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:002, data loss:0.963581
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.069940
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:003, data loss:0.898703
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.039513
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:004, data loss:0.817039
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.027960
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:005, data loss:0.747438
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.023286
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:006, data loss:0.667693
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.016623
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:007, data loss:0.579612
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.014422
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:008, data loss:0.489564
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.009255
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:009, data loss:0.379114
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.008177
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:010, data loss:0.277685
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.006467
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:011, data loss:0.202359
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.005092
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:012, data loss:0.137722
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.005040
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:013, data loss:0.099571
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.004071
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:014, data loss:0.074967
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003469
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:015, data loss:0.047337
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002988
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:016, data loss:0.029914
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002533
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:017, data loss:0.027160
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002299
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:018, data loss:0.016142
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002038
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:019, data loss:0.009674
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001618
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:020, data loss:0.009512
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001445
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:021, data loss:0.005817
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001264
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:022, data loss:0.005087
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000966
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:023, data loss:0.004822
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001000
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:024, data loss:0.003785
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000884
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:025, data loss:0.003486
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000744
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:026, data loss:0.003190
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000677
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:027, data loss:0.003174
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000644
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:028, data loss:0.003018
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000692
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:029, data loss:0.002827
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000588
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:030, data loss:0.002636
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000491
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:031, data loss:0.002624
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000430
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:032, data loss:0.002553
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000392
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:033, data loss:0.002485
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000635
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:034, data loss:0.002410
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000483
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:035, data loss:0.002349
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000560
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:036, data loss:0.002549
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000576
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:037, data loss:0.002228
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000632
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:038, data loss:0.002612
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000679
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:039, data loss:0.002119
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000847
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:040, data loss:0.002914
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000745
