data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.602280
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:001, data loss:0.224767
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.203991
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:002, data loss:0.093914
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.072320
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:003, data loss:0.047283
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.082562
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:004, data loss:0.041070
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.036138
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:005, data loss:0.004374
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.018565
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:006, data loss:0.010562
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.018307
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:007, data loss:0.006651
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.010772
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:008, data loss:0.007482
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.009357
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:009, data loss:0.003784
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.007967
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.003838
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005115
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.002418
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003674
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.001690
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003073
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:013, data loss:0.002125
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002837
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:014, data loss:0.001988
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002132
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:015, data loss:0.001319
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002084
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:016, data loss:0.002382
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001736
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:017, data loss:0.001392
