data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.622252
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:001, data loss:0.159992
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.089489
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:002, data loss:0.071600
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.081408
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:003, data loss:0.026599
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.027463
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:004, data loss:0.012975
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.029662
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:005, data loss:0.009679
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.014346
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:006, data loss:0.006308
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010901
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:007, data loss:0.003186
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007759
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:008, data loss:0.004412
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004494
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:009, data loss:0.000968
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003380
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.003229
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002826
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.002083
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002471
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.002619
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001998
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:013, data loss:0.001817
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001746
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:014, data loss:0.002553
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001769
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:015, data loss:0.001981
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001652
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:016, data loss:0.003099
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001599
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:017, data loss:0.001356
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001383
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:018, data loss:0.002302
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001346
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:019, data loss:0.002373
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001362
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:020, data loss:0.001320
