data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.408734
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:001, data loss:0.036575
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.080495
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:002, data loss:0.052451
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.051918
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:003, data loss:0.023888
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.043266
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:004, data loss:0.008901
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.024007
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:005, data loss:0.008579
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.018465
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:006, data loss:0.001321
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.017434
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:007, data loss:0.003028
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.012989
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:008, data loss:0.001729
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.011259
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:009, data loss:0.000784
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.009846
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:010, data loss:0.001069
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.008113
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:011, data loss:0.000475
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.006519
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:012, data loss:0.000424
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.005159
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:013, data loss:0.000608
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003468
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:014, data loss:0.000484
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002536
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:015, data loss:0.000912
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001927
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:016, data loss:0.001465
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001398
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:017, data loss:0.000666
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001218
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:018, data loss:0.000774
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001109
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:019, data loss:0.001073
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001062
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:020, data loss:0.000952
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001079
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:021, data loss:0.000940
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000922
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:022, data loss:0.000754
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000899
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:023, data loss:0.000601
