data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.533148
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:001, data loss:0.223540
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.201886
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:002, data loss:0.076598
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.109716
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:003, data loss:0.126321
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.137553
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:004, data loss:0.115417
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.093024
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:005, data loss:0.035676
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.034394
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:006, data loss:0.010075
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.034606
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:007, data loss:0.036099
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.051298
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:008, data loss:0.023696
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.031825
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:009, data loss:0.006601
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.015258
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:010, data loss:0.015009
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.014489
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:011, data loss:0.016856
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.013402
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:012, data loss:0.005965
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.016547
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:013, data loss:0.003274
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.011412
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:014, data loss:0.004904
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.006420
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:015, data loss:0.007198
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.004765
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:016, data loss:0.003573
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.004920
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:017, data loss:0.001387
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.006835
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:018, data loss:0.001101
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.005083
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:019, data loss:0.001859
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.003940
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:020, data loss:0.004210
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.003827
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:021, data loss:0.004082
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.002860
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:022, data loss:0.001713
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.002510
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:023, data loss:0.000871
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.002765
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:024, data loss:0.002171
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.002439
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:025, data loss:0.004857
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.002607
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:026, data loss:0.003902
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002019
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:027, data loss:0.001369
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001937
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:028, data loss:0.000808
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001880
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:029, data loss:0.001921
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001764
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:030, data loss:0.002709
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001425
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:031, data loss:0.001527
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001390
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:032, data loss:0.000824
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001453
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:033, data loss:0.001328
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.001138
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:034, data loss:0.002241
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.001273
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:035, data loss:0.001963
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.001299
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:036, data loss:0.001330
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.001427
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:037, data loss:0.001439
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.001098
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:038, data loss:0.002236
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.001095
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:039, data loss:0.001943
